pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,correctas,explicacion
"¿Cuáles son los factores que pueden afectar al campo visual?","Condiciones climáticas.","Tamaño del vehículo.","Iluminación propia del vehículo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En zona urbana, ¿quién tiene prioridad para atravesar la calzada por la senda peatonal, (esté o no marcada)?:","El vehículo.","El peatón.","El ciclista.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuando se procede la retencion de la licencia?","Procede cuando estén en estado de intoxicación alcohólica","Procede cuando estén en estado de intoxicación por estupefacientes","Procede cuando estén en estado de intoxicación alcohólica y/o por estupefacientes.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuanto puede durar la retencion de una persona?","la retención no puede ser mayor a 4 hs","la retención no puede ser mayor a 6 hs.","la retención no puede ser mayor a 12 hs.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Condiciones para conducir","Los automotores serán conducidos con ambas manos sobre el volante de dirección.","Los automotores serán conducidos con ambas manos sobre el volante de dirección, excepto cuando sea necesario accionar otros comandos.","Los automotores serán conducidos con al menos una mano sobre el volante de dirección.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Que es una Amonestacion?","Consiste en una advertencia, reprimenda, llamado de atención, con miras a evitar que se procure su repetición.","Es la pérdida del privilegio de conducir","Consiste en una sanción pecuniaria.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Que es la multa?","Es la sanción que se aplica con mayor asiduidad en materia de de infracciones, pero presenta el inconveniente de no resultar igualitaria.","Es la pérdida del privilegio de conducir","Consiste en una advertencia, reprimenda, llamado de atención, con miras a evitar que se procure su repetición.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuando se otorga la licencia de conducir reemplazada?","Se otorga en caso de vencimiento del plazo de vigencia de la licencia habilitante.","Corresponde al cambio de jurisdicción de un conductor.","Será otorgada en caso de pérdida, destrucción, o deterioro que haga imposible la identificación del titular.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Licencia de conducir duplicada ¿cuando sera otorgada?","Será otorgada en caso de pérdida, destrucción, o deterioro que haga imposible la identificación del titular.","Se otorga en caso de vencimiento del plazo de vigencia de la licencia habilitante.","Corresponde al cambio de jurisdicción de un conductor.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Licencia de conducir renovada ¿cuando sera otorgada?","Corresponde al cambio de jurisdicción de un conductor.","Se otorga en caso de vencimiento del plazo de vigencia de la licencia habilitante.","Será otorgada en caso de pérdida, destrucción, o deterioro que haga imposible la identificación del titular.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando no existiera senda peatonal habilitada exclusivamente para personas con discapacidad se considera tal a la franja imaginaria sobre la calzada, inmediata al cordón, que comunica la rampa con la senda peatonal","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para poder circular es indispensable poseer matafuego y balizas portátiles normalizados, incluso las motocicletas.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En las vías reguladas por semáforos los vehículos deben: con luz intermitente roja, que advierte la presencia de cruce peligroso, detener la marcha y sólo reiniciarla cuando se observe que no existe riesgo alguno.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En las vías reguladas por semáforos los peatones deberán cruzar la calzada cuando: tengan a su frente semáforo peatonal con luz verde o blanca habilitante","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Excepcionalmente se puede adelantar por la derecha cuando: El anterior ha indicado su intención de girar o de detenerse a su derecha.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Excepcionalmente se puede adelantar por la derecha cuando: En un embotellamiento la fila de la izquierda no avanza o es más lenta.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Queda prohibido conducir con impedimentos físicos o psíquicos, sin la licencia especial correspondiente.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Queda prohibido circular marcha atrás, excepto para estacionar, egresar de un garage o de una calle sin salida.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Queda prohibido: La detención irregular sobre la calzada, el estacionamiento sobre la banquina y la detención en ella sin ocurrir emergencia","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Queda prohibido: Circular con cubiertas con fallas o sin la profundidad legal de los canales en su banda de rodamiento, salvo que no sean conductores profesionales.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Queda prohibido circular con un tren de vehículos integrado con más de un acoplado, salvo lo dispuesto para la maquinaria especial y agrícola","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de retención de la licencia de conducir por la autoridad competente ante una falta de tránsito grave, la licencia será reemplazada por la boleta de citación del inculpado, que lo habilitará para conducir por un plazo de 30 días.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Sólo los conductores debe sujetarse a las pruebas expresamente autorizadas, destinadas a determinar su estado de intoxicación alcohólica o por drogas, para conducir.","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La lluvia, el hielo y la nieve:","Deben resultar indiferentes en relación a la conducción.","facilitan la conducción.","incrementan la perdida de control del vehículo y la siniestralidad.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Es recomendable frenar sobre zona resbaladiza","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si siente sueño o somnolencia debe:","Aumentar la velocidad para llegar más rápido a destino","Buscar un lugar seguro, lejos de la calzada y dormir una siesta.","Detenerse ante el primer síntoma de sueño sobre la banquina y dormir una siesta.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El estacionamiento debe realizarse en no más de tres maniobras y sin tocar otros vehículos","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de siniestro en el que usted esté involucrado debe:","continuar la marcha.","detenerse en forma inmediata.","detenerse despacio de forma gradual inmediata.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En las vías reguladas por semáforos los vehículos deben: con luz intermitente amarilla, que advierte la presencia de cruce riesgoso, efectuar el mismo con precaución.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Sólo se admitirán en los vidrios los aditamentos que tengan fines de identificación (oficiales o privados)","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La ingesta de drogas (legales o no) impide conducir cuando altera los parámetros normales para la conducción segura","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La distancia de seguridad mínima requerida entre vehículos, de todo tipo, que circulan por un mismo carril, es aquélla que resulte prudente teniendo en cuenta la velocidad de marcha y las condiciones de la calzada y del clima, y que resulte de una separación en tiempo de por lo menos 5 (cinco) segundos","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Senda peatonal: La “Senda peatonal” está destinada:","A marcar la línea de frenado de los vehículos.","Al cruce de peatones.","Al cruce de peatones, ciclomotores y ciclistas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué se denomina “Calzada”?:","La vía destinada sólo a la circulación de vehículos.","La vía destinada a circulación de vehículos y peatones.","La vía destinada a circulación de peatones únicamente.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Definición de Banquina: zona de la vía destinada sólo a la circulación de vehículos","Verdadero.","Falso.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Definición de Camino: una vía rural de circulación;","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Que es la responsabilidad?","Es la aptitud legal que tenemos para hacernos cargo por la violación de una regla de convivencia.","Es el monto de una multa de transito.","Es la aptitud psico-física para conducir.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Que es la responsabilidad penal?","Es la responsabilidad legal que tenemos para hacernos cargo por la violación de una regla de convivencia.","Es la capacidad que nos da la ley para asumir la pena que nos cabe por un delito.","Es la obligación de reparar el daño que hayamos causado en circunstancias de la circulación.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Que es la responsabilidad civil?","Es la capacidad que nos da la ley para asumir la pena que nos cabe por un delito.","Es la responsabilidad legal que tenemos para hacernos cargo por la violación de un regla de convivencia.","Es la obligación de reparar el daño que hayamos causado en circunstancias de circulación.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Inhabilitados. Cumplida la pena:","No podrán acceder a una licencia de cualquier categoría, aquellos conductores que hayan sido inhabilitados o que tengan o hayan sido condenados por causas referidas a accidentes de tránsito","No podrán acceder a una licencia con categoría profesional aquellos conductores que hayan sido inhabilitados o que tengan o hayan sido condenados por causas referidas a accidentes de tránsito, y no hayan trancurrido diez (10) años desde la fecha de vencimiento de la pena impuesta.","No podrán acceder a una licencia aquellos conductores que hayan sido condenados por causas referidas a accidentes de tránsito.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"¿Qué significa el término “culposo” en materia de accidentes de tránsito?","Que es responsable por actuar con intención de provocar un daño.","Que no obró con intención de provocar un daño.","Que no estaba habilitado para conducir.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué vehículo tiene prioridad de paso en una intersección de calles de igual jerarquía?:","El que llega primero a la intersección.","El vehículo de porte mayor.","El que circula desde la derecha.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Quién tiene prioridad de paso en cuestas estrechas, si se cruzan un automóvil y un vehículo con acoplado o remolque, que marchan en sentido opuesto?:","El automóvil, sólo si está ascendiendo.","El vehículo con acoplado, esté ascendiendo o descendiendo.","El vehículo con acoplado, únicamente si asciende.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"a) El que circula desde la derecha","El que circula por la rotonda.","Depende del porte del vehículo",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En los caminos de tierra que exista una sola huella, ¿qué deben hacer los vehículos que se cruzan en sentido opuesto o tratan de adelantarse en la misma dirección?:","Detenerse sobre la banquina cualquiera de los dos.","Ceder por lo menos la mitad de la huella.","Detenerse sobre la banquina el de porte menor.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo deberá el conductor señalizar a los vehículos posteriores la intención de adelantarse?","Se deberán utilizar las balizas.","Se deberá utilizar la luz de giro derecha.","Se deberá utilizar la luz de giro izquierda.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué vehículos tienen siempre prioridad de paso?:","Ambulancias, policía y bomberos, estén o no en servicio","Ambulancias, policía, bomberos y transporte de personas","Ambulancias, policía y bomberos, con las señales de advertencia reglamentarias activadas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los conductores principiantes deben conducir con su respectiva identificación:","Durante los primeros tres meses.","Durante los primeros seis meses.","Durante los primeros doce meses.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"¿Cómo debe comportarse con luz amarilla a su frente?:","Avanzar, como si se tratara de luz verde.","Avanzar sólo si estima que cruzará la encrucijada antes de encenderse la roja.","Sólo si la derecha le otorga prioridad de paso.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué indica la luz roja intermitente a su frente?:","Que ha habido un accidente en el lugar.","La presencia de un cruce peligroso.","Entrada y salida de vehículos.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si se enciende la luz verde a su frente y vehículos o peatones no han finalizado el cruce, ¿puede iniciar la marcha?:","No. Debe esperar que finalicen el cruce.","Sí, porque lo habilita el semáforo.","Sí, esquivando peatones o vehículos.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuándo está permitido doblar a la izquierda en las encrucijadas de calles de doble mano semaforizadas?:","Siempre está permitido.","Está prohibido.","Sólo cuando esté expresamente indicado con la correspondiente señal.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Que indica la luz roja del semáfaro?","Que debe detenerse.","Que puede avanzar sino circula otro vehículo transversalmente.","Que puede avanzar sino cruzan peatones.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo debe comportarse con la luz amarilla intermitente a su frente?:","Avanzar, como si fuera luz verde.","Detenerse, en to da circunstancia.","Circular con precaución, respetando prioridades.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo debe comportarse con luz roja intermitente a su frente?:","Avanzar respetando prioridades.","Detener la marcha y reiniciarla sólo si no existe riesgo.","Avanzar observando que no exista riesgo",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Qué habilita el paso en vías públicas semaforizadas?:","Las normas comunes sobre paso en los cruces.","Transitar desde la derecha.","La luz del semáforo",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuál es la velocidad máxima permitida en calles urbanas?:","40 km.","60 km.","80 km.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuál es la velocidad máxima permitida en avenidas urbanas?:","60 km.","80 km.","90 km.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cual es la velocidad mínima y máxima para circular por calles en zona urbana?","La mínima 15 km/h y la máxima 60 km/h.","La mínima 20 km/h y la máxima 40 km/h.","La minima 30 km/h y la máxima 40 Km/h.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿A qué velocidad precautoria se debe cruzar una bocacalle sin semáforo?:","A la misma velocidad que la de la vía por la que circula.","A no más de 30 km/h.","A no más de 10 km/h.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"¿Cual es la distancia de detención?:","La de frenado.","Distancia de reacción más distancia de frenado.","La distancia de reacción.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para quienes participan de un accidente es obligatorio:","Detenerse siempre.","Únicamente si es responsable del siniestro.","Sólo si hay heridos.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de accidente, es obligatorio suministrar los datos de la licencia de conductor y del seguro:","A la autoridad únicamente.","No es obligatorio si la autoridad no presenció el siniestro.","A la autoridad y a la otra parte involucrada.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Qué sistemas de comunicación, operación manual continua pueden utilizarse durante la conducción?","Todos, mientras no se circule en el ejido urbano","Sólo los del tipo “manos libres”.","Ninguno.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La prohibición de uso de celular rige para","Solo es obligatorio para el conductor.","Solo es obligatorio para el conductor y acompañante.","Es obligatorio para todos los ocupantes.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La línea blanca discontinua de trazos demarcada en el centro de calzadas y rutas indica:","que puede ser traspasada.","que no debe ser traspasada.","que no se puede circular sobre ellas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El uso de luces durante la noche es optativo","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La doble línea amarilla pintada en el centro de la calzada indica:","prohibición de adelantarse en ambos sentidos.","solo división de manos.","Puente angosto.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para poder circular es obligatorio portar la Cédula de Identificación del Automotor.","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En oportunidad de realizarse la VTV la autoridad de aplicación puede constatar que el vehículo cuente con el seguro obligatorio correspondiente","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Todo automotor destinado a circular, debe contar con placa identificatoria de dominio en el lugar indicado para ello, salvo excepción.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La autoridad municipal podrá disponer con carácter general, para áreas metropolitanas, la prohibición de estacionar a la izquierda en las vías de circulación urbanas","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El estacionamiento se debe realizar maniobrando sin empujar a los otros vehículos y sin acceder a la acera.","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cuando no exista cordón se estacionará lo más alejado posible del centro de la calzada, pero sin obstaculizar la circulación de peatones","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"El vehículo, o cualquier otro objeto, dejado en la vía pública por mayor lapso del establecido por la autoridad jurisdiccional, se considera abandonado, debiendo ser removido por la autoridad local.","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Durante la circulación deben mantenerse limpios los elementos externos de iluminación del vehículo, excepto en rutas.","Verdadero","Falso",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La prohibición de ceder o permitir la conducción a personas sin habilitación para ello, comprende a los dependientes y familiares del propietario o tenedor del vehículo, no pudiendo éste invocar desconocimiento del uso indebido como eximente","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Cualquier maniobra de retroceso, en los casos permitidos, debe efectuarse a velocidad reducida","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Los correajes de seguridad que posean los vehículos determinarán el número de ocupantes que pueden ser transportados en el mismo","Verdadero","Falso",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuando hay que usar el cinturon de seguridad?","Hay que circular con el mismo abrochado en todos los casos.","Sólo si se circula a gran velocidad.","Solo en zonas rurales.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Quienes deben utilizar el cinturón de seguridad?","El conductor.","Aquellos que van en la parte delantera del vehículo.","Todos los ocupantes.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En zonas semáforizadas cual es la velocidad máxima permitidas","60 km/h.","Lo determinan los semáforos.","80 km/h.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Quien tiene la prioridad de paso?","La tiene el vehículo que circula por la derecha.","La tiene el vehículo que circula por la izquierda.","La tiene el vehículo que lleva mayor velocidad.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En una interseccion, entre una semi autopista y una avenida ¿quien tiene la prioridad de paso?","Quien circula por la avenida.","Quien circula por una semi autopista.","El vehiculo de mayor porte.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Por donde se debe realizar el adelantamiento?","Debe hacerse siempre por la izquierda.","Debe hacerse por izquierda, y por la derecha, cuando el vehículo de adelante indique que va a girar o detenerse sobre el lado izquierdo.","Debe hacerse siempre por la derecha.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Se puede realizar una maniobra de adelantamiento al atravesar un túnel o puente en la ruta?","Si.","No.","Depende de las circunstancias.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuando puede producirse el adelantamiento?","No puede comenzarse el adelantamiento de un vehículo que previamente ha indicado su intención de hacer lo mismo mediante la señal pertinente.","Puede hacerse si el vehículo viene a menor velocidad.","Puede hacerse si el vehículo viene a mayor velocidad.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Quien tiene prioridad de adelantamiento?","Cuando varios vehículos marchen encolumnados, la prioridad para adelantarse corresponde al que circula inmediatamente detrás del primero.","La prioridad le corresponde al último vehículo.","La prioridad le corresponde al primer vehículo que coloque la luz de giro.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si tiene intención de sobrepasar a otro vehículo, no ha efectuado señales y advierte que a su vez, otro está intentando sobrepasarlo a Ud., ¿qué debe hacer?:","Continuar la maniobra porque va adelante.","Permitir que el que le sigue continúe el sobrepaso.","La maniobra depende del porte del vehículo que va atrás.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En caso de adelantamiento, ¿cómo se debe advertir al que precede la intención de sobrepasarlo?","Por medio de destellos de las luces frontales o la bocina en zona rural.","En todos los casos, debe utilizar el indicador de giro izquierdo hasta concluir su desplazamiento lateral.","Accionando la bocina.","Por medio de destellos de las luces frontales o la bocina en zona rural.","En todos los casos, debe utilizar el indicador de giro derecho hasta concluir su desplazamiento lateral.","2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Indique en cuales de las siguientes zonas esta prohibida la maniobra de adelantamiento:","En puentes","En curvas","En encrucijadas","Todas las respuestas son correctas.",,"4","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Está permitido adelantarse en proximidades de puentes, curvas o cimas?:","Únicamente en caminos no pavimentados.","Nunca debe adelantarse en esos sitios.","Puede adelantarse si tiene visibilidad suficiente.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo debe advertir, al vehículo que marcha delante, su intención de sobrepasarlo?:","Con destello de luces frontales e indicador de giro","Con indicador de giro únicamente.","Siempre haciendo sonar la bocina",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si va circulando en ruta y el vehículo que va delante enciende la luz de giro izquierda, ¿qué le está indicando?:","Que puede sobrepasarlo.","Que no inicie el sobrepaso.","Que la vía contraria está libre.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Que indica la cruz de San Andrés?","Cruce de Caminos.","Cruce de vías férreas.","Cruce de Peatones.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En autopistas ¿cuando pueden circular los peatones?","No pueden circular peatones en ningún caso.","Pueden circular peatones","No pueden circular peatones, salvo senda especial.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿En las intersecciones no controladas no se puede ir mas a?","No se puede ir a más de 25 km/h.","No se puede ir a más de 30 km/h.","No se puede ir a más de 40 km/h",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio."
"En una autopista ¿para que debe ser utilizado el carril extremo izquierdo?","Para realizar la maniobra de adelantamiento y que circulen los vehiculos de carril.","Para circular a la maxima velocidad permitida y realizar la maniobra de adelantamiento.","No debe utilizarse, debe estar libre para que circulen los vehiculos de emergencia.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuales de estas acciones están permitidas solo en caso de emergencia o fuerza mayor?","Remolcar automotores.","Conducir utilizando auriculares o sistemas de comunicación de operación manual.","Efectuar reparaciones en zonas urbanas salvo arreglos de circunstancia","La detencion y estacionamiento sobre la banquina.",,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Al llegar a una interseccion entre una calle y una avenida ¿ a quien se le debe ceder el paso?","A los peatones.","A quien circule por la izquierda.","A quien circule por la derecha.","A quien circula a mayor velocidad.",,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Para atravesar un cruce de vías de circulación el conductor debe:","Estar preparado para frenar o eventualmente detener su vehículo.","No detenerse bajo ninguna circunstancia.","Aumentar la velocidad a los fines de cruzar rápidamente sin obstruir el tránsito.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Prioridad de la derecha","El que viene por la derecha siempre tiene prioridad de paso.","El que viene por la derecha siempre tiene prioridad salvo que el otro vehículo venga circulando a mayor velocidad.","El que viene por la derecha siempre tiene prioridad de paso, salvo señalización específica en contrario.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"La mejor garantía de seguridad para conducir en el horario nocturno en ruta es:","Circular respetando la velocidad mínima permitida.","Conducir manteniendo la derecha.","Mantener una velocidad regular.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En terreno de Ripio","La superficie genera mayor adherencia","La inconsistencia del camino hace totalmente inestable la circulación.","Es indistinto.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En días de Lluvia y conduciendo por la ciudad, debemos:","Reducir la velocidad.","Mantener la velocidad con la que se estaba conduciendo.","Estacionar paralelo al cordón a la espera de que la lluvia cese a efectos de conducir con mayor visibilidad.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Estacionamiento en zona urbana ¿de que lado debe realizarse?","Siempre debe realizarse a la derecha de la vía, paralelo a la acera","Puede realizarse en ambos lados","Siempre debe realizarse a la derecha de la vía, paralelo a la acera, salvo señalización en contrario.","Siempre debe realizarse a la izquierda de la vía.",,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"En zona urbana y en estacionamiento paralelo al cordón de la vereda, ¿qué distancia debe haber entre los vehículos?:","30 cm.","50 cm.","20 cm.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuándo puede detenerse y/o estacionar sobre la banquina?:","Cuando tenga necesidad y por cualquier causa.","Siempre, mientras esté colocada la señalización reglamentaria (balizas).","Sólo cuando ocurra una emergencia colocando la debida señalización.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Estacionar en doble fila está permitido únicamente:","En días de lluvia, frente a establecimientos escolares.","En días de lluvia, frente a hospitales.","No está permitido el estacionamiento en doble fila.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cómo se debe estacionar en una calle de mano única?:","En el mismo sentido que la circulación del tránsito.","No interesa el sentido si guarda las distancias.","No interesa el sentido si lo hace sobre la derecha y guardando las distancias reglamentarias por Ley.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuándo está permitido estacionar en espacios destinados a parada de transporte de pasajeros?","En horarios donde el transporte esté fuera de línea.","No está permitido estacionar en esos sitios.","Está permitido si no cuenta con doble señalización (horizontal y vertical).",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Está permitido estacionar en el acceso de garajes en uso o cocheras?:","Está permitido sólo en horario nocturno.","No está permitido.","Está permitido, si el estacionamiento es temporario y el garage no cuenta con cartel de prohibición.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Cuándo está permitido el estacionamiento en rotondas?:","Cuando se estaciona sobre el lado izquierdo paralelo al cordón y en el sentido de circulación.","Cuando se estaciona sobre el lado derecho.","No está permitido estacionar en rotondas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"¿Dónde debe estacionar un camión con acoplado dentro de la ciudad?","Dentro del radio donde le está permitido circular.","Sólo en calles de mano única.","En lugares especialmente habilitados para ello. X",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
"Si durante la circulación entra en un “banco de niebla”, Ud. debe:","Encender las luces altas.","Asegurarse que las luces bajas estén encendidas.","Accionar balizas.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires."
