pregunta,opcion1,opcion2,opcion3,opcion4,opcion5,correctas,explicacion,imagen
"Frente a la siguiente situación, ¿qué actitud debe tomar usted como conductor?","Hacer contacto visual con la peatona y en el caso de que comience a cruzar cederle el paso.","Avanzar ya que se tiene prioridad sobre la peatona por circular desde la derecha.","Ambas respuestas, la A y la B, son incorrectas.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0014.webp"
"Si ud. es el conductor del vehículo, ¿qué conducta debe adoptar en la siguiente situación?","Priorizar la circulación del peatón, indefectiblemente.","Realizar una guiñada para advertir su preferencia de avance.","Completar la maniobra como sea posible, para disminuir su tiempo de permanencia sobre la vereda.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0015.webp"
"En esta intersección, ¿quién tiene prioridad de paso?","El peatón.","El conductor.","Es indistinto.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0016.webp"
"Como conductor, observa que esta luz se encuentra intermitente, ¿qué debería esperar que haga el peatón?","Que no comience a cruzar la calzada.","Si inició el cruce, que lo finalice con mucha precaución.","Ambas respuestas, la A y la B son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0017.webp"
"¿Qué indica la señal horizontal que se encuentra demarcada sobre la calzada?","Carril exclusivo de colectivo de pasajeros.","Cruce exclusivo de vehículos de emergencia.","Ceda el paso.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0018.webp"
"¿Qué indica la demarcación horizontal que se visualiza en la imagen?","Estacionamiento para micros escolares.","Carril de detención para el ascenso y descenso de escolares.","Zona de ascenso y descenso de pasajeros de transporte público.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0019.webp"
"La siguiente imagen corresponde a:","Calle Prioridad Peatón.","Calle con Intervención Peatonal.","Calle con Bicisenda.}",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0020.webp"
"¿Para qué sirve la demarcación horizontal de color amarillo que se visualiza en la imagen?","Ampliar la zona permitida de estacionamiento para motos.","Reducir la velocidad y radio de giro de los vehículos.","Ampliar la zona permitida de estacionamiento para vehículos de emergencia.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0021.webp"
"La señal que está presente en la imagen corresponde a las informativas que orientan al peatón.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0022.webp"
"En caso de un siniestro vial en este tipo de calle, ¿cómo es recomendable señalizar la zona del vehículo inmovilizado?","Se deben encender las luces bajas y, en lo posible, colocar balizas portátiles delante y detrás del mismo.","Se deben encender las luces altas y, en lo posible, colocar balizas portátiles detrás del mismo.","Se deben encender las balizas y, en lo posible, colocar balizas portátiles del lado de donde provienen los vehículos a una distancia adecuada del vehículo.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0023.webp"
"En el caso de que un vehículo quede inmovilizado por un siniestro vial o desperfecto mecánico en los carriles marcados de esta vía, ¿qué es recomendable hacer?","Colocar las balizas portátiles, ponerse a resguardo detrás de una defensa si las hubiere y llamar al número de emergencia de la Autopista.","Descender del vehículo usando un chaleco reflectante para hacer señas al resto de los vehículos y llamar al número de emergencia de la Autopista.","Permanecer dentro del vehículo con el cinturón de seguridad abrochado, encender las balizas y llamar al número de emergencia de la Autopista.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0024.webp"
"En caso de un siniestro vial o desperfecto mecánico, ¿qué es recomendable hacer cuando el vehículo queda inmovilizado en el sector señalado?","Encender las luces intermitentes, colocar las balizas portátiles y llamar al número de emergencia de la Autopista.","Descender del vehículo usando un chaleco reflectante y ponerse a resguardo detrás de una defensa si las hubiere.","Ambas respuestas, la A y la B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0025.webp"
"Con esta documentación, ¿quién está autorizado a conducir el vehículo?","Nadie, porque está vencida y debe renovarse.","Sólo el titular.","El titular y sus familiares directos, por tener el mismo apellido.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0026.webp"
"¿Está permitido circular con la placa de dominio de este modo?","Sí, ya que exhibe una documentación provisoria.","No, ya que para poder cumplir su función como provisoria debe ampliarse.","No, ya que debe estar colocada en el lugar y de forma reglamentaria.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0027.webp"
"Durante esta situación, ¿es riesgoso que el conductor utilice el teléfono celular?","No, ya que no hay otros vehículos junto a él.","Sí, ya que a pesar de estar detenido, está en la vía de circulación y su atención no está dirigida al contexto.","No, ya que el vehículo no está en movimiento.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0028.webp"
"¿Cuál de estos sistemas de comunicación telefónica no es considerado riesgoso al momento de conducir un vehículo?","Opción A. Ya que al utilizar un sólo auricular la audición no se encuentra afectada.","Opción B. Ya que al activar el manos libres las manos quedan disponibles para la conducción.","Ambos sistemas son riesgosos.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0029.webp"
"La siguiente acción del conductor, ¿es considerada un factor de riesgo?","No, ya que el conductor no está utilizando sus manos para mantener una comunicación telefónica.","Sí, sólo cuando circula a altas velocidades.","Sí, porque interfiere en su atención al contexto.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0030.webp"
"La siguiente acción del conductor es riesgosa porque:","Disminuye su capacidad atencional, limita el sentido de la audición, reduce la capacidad de reacción y aumenta el tiempo necesario para responder ante un estímulo.","El conductor debe mantener ambas manos comprometidas en la acción de conducir y al manipularlo, reduciría su capacidad para maniobrar.","Ambas respuestas, la A y la B, son correctas.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0031.webp"
"¿Se encuentra prohibida la acción de la persona señalada con el círculo rojo?","Sí, porque se encuentra en el asiento delantero.","No, porque la prohibición del uso de telefonía celular alcanza sólo al conductor del vehículo.","Sí, su uso se encuentra prohibido para todos los ocupantes del vehículo.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0032.webp"
"La presente conducta, ¿es riesgosa al momento de conducir?","Sí, porque es considerado un factor de distracción.","Únicamente si se circula a altas velocidades.","Al contrario, ayuda a mantener la atención en la conducción.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0033.webp"
"La acción que se presenta en la imagen es considerada riesgosa para la conducción de un vehículo.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0034.webp"
"La acción que realiza el conductor en la imagen es riesgosa para la conducción.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0035.webp"
"¿Cuáles de las siguientes acciones son consideradas factores de distracción cuando se conduce un vehículo?","Las opciones A, B y C.","Las opciones A y C.","Las opciones B y C.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0036.webp"
"Que indica el señalamiento vertical de color azul A – Restricción B - información C – Prevención Que indica el señalamiento vertical con una orla roja A – Restricción B - información C – Prevención Que indica el señalamiento vertical de color amarillo A – Restricción B - información C – Prevención ¿Qué está indicando el agente de tránsito al realizar esta señal a un conductor?","Que circule con precaución.","Que detenga el vehículo.","Que continúe avanzando.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0037.webp"
"Si al circular por una vía y la persona señalada le indica detenerse, ¿está obligado usted a obedecer?","Sí, porque al ser personal de obra está autorizado a regular el paso de vehículos en el tramo donde están trabajando.","Sólo si se percibe una situación riesgosa ya que el personal de obra no tiene la autoridad legal para realizar dicha indicación.","No, porque no tiene autoridad ya que la Ley sólo delega dicha función a los agentes de tránsito.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0038.webp"
"Si se encuentra en esta situación y el personal ferroviario le indica que avance, ¿qué debe hacer?","Avanzar porque el personal ferroviario está autorizado a regular el paso de vehículos.","Detenerme y esperar hasta que la barrera se levante porque el personal ferroviario no tiene la autoridad legal para realizar dicha indicación.","Detenerme y esperar hasta que la barrera se levante, salvo que la indicación sea realizada por un agente de tránsito ya que es la única autoridad competente.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0039.webp"
"¿Qué indican las señales transitorias naranjas ubicadas en la calzada de la presente imagen?","Refuerzan el significado de las líneas discontinuas del carril porque es una zona peligrosa.","Nada, no son señales de circulación y es ilegal su colocación.","La prohibición de sobrepasar la línea imaginaria que las une.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0040.webp"
"¿Qué tipo de señal es la siguiente imagen?","Reglamentaria.","Transitoria.","Informativa.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0041.webp"
"Si al conducir un vehículo se encuentra en una intersección con esta señalización intermitente, ¿qué actitud debe tomar?","Tengo la obligación de detener la marcha y cuando no haya más vehículos circulando por la arteria que cruza, puedo reiniciarla.","Al tener prioridad, debo atravesarla rápidamente para no obstaculizar la vía.","Efectuar el cruce con máxima precaución.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0042.webp"
"Si al conducir un vehículo se encuentra en una intersección con esta señalización intermitente, ¿qué actitud debe tomar?","Detener la marcha y realizar el cruce cuando se tenga la certeza de que no existe riesgo alguno.","Al tener prioridad, debo atravesarla rápidamente para no obstaculizar la vía.","Extremar precauciones al cruzar sin la necesidad de detenerme.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0043.webp"
"Frente a esta situación, ¿qué debe hacer el conductor del vehículo señalado con el círculo rojo?","Avanzar si es que el vehículo que cruza lo hace lentamente porque la prioridad de paso está dada por la luz verde.","No iniciar el cruce, hasta que el otro vehículo haya completado el suyo.","Avanzar rápidamente si el vehículo que cruza todavía no llegó a mitad del cruce, de esa manera se deja libre la intersección.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0044.webp"
"¿Qué indica esta demarcación amarilla en la calzada?","Que es un sector destinado a la detención y al estacionamiento de vehículos.","Que se debe circular lentamente por su sector central.","Que no se debe circular sobre ella.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0045.webp"
"¿Qué significa esta demarcación amarilla en la calzada?","Es una señalización que se utiliza únicamente para dividir los carriles de la vía.","Indica, para ambos sentidos de circulación, que no debe ser traspasada ni se puede circular sobre ella.","Significa que sólo pueden circular vehículos particulares.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0046.webp"
"En la siguiente imagen, ¿qué indican las líneas centrales de la calzada señaladas?","Que se pueden traspasar.","Que está prohibido traspasarlas.","Que es una zona de máximo peligro.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0047.webp"
"¿Cuál de estas señales comunica “Prevención”?","La señal A.","La señal B.","La señal C.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0048.webp"
"¿Cuál de estas señales es Reglamentaria?","La señal A.","La señal B.","La señal C.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0049.webp"
"¿Cuál de estas señales es una señal reglamentaria?","La señal A.","La señal B.","La señal C.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0050.webp"
"¿Cuál de estas señales es Informativa?","La señal A.","La señal B.","La señal C.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0051.webp"
"Indique qué tipo de señal es la que a continuación se muestra:","Preventiva.","Reglamentaria.","Informativa.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0052.webp"
"¿Cuál de las siguientes imágenes, por forma y color, corresponde a la señal indicativa de una rotonda o pendiente pronunciada?","Figura A.","Figura B.","Figura C.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0053.webp"
"¿Cuál de las siguientes imágenes, por forma y color, corresponde a la señal indicativa de estar próximo a una zona afectada por obras?","Figura A.","Figura B.","Figura C.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0054.webp"
"Frente a la siguiente situación de emergencia, ¿qué deben hacer los conductores que circulen en su proximidad?","Aumentar la velocidad para no ser un obstáculo a este vehículo.","Avisar a otros conductores de la presencia de este vehículo, usando repetidamente la bocina.","Dar lugar a este vehículo, despejar el carril de emergencias y si fuera necesario detenerse.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0055.webp"
"El siguiente símbolo indica que se trata de un carril que debe ser liberado cuando se aproxima un vehículo en emergencia.}","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0056.webp"
"Frente a la siguiente situación de emergencia, ¿hacia qué sector es recomendable que se aparten los vehículos de la imagen para facilitar el paso a la ambulancia?","Ambos hacia su derecha.","El único que debería apartarse es el auto 2 hacia su derecha.","El auto 1 hacia su izquierda y el 2 hacia su derecha.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0057.webp"
"Frente a la siguiente situación de emergencia, ¿hacia qué sector es recomendable que se aparten los vehículos de la imagen para facilitar el paso a la ambulancia?","El único que debería apartarse es el auto 2 hacia su derecha.","Todos hacia su derecha.","El auto 1 hacia su izquierda, mientras que el 2 y 3 hacia su derecha.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0058.webp"
"Ud. se encuentra frente a la siguiente situación donde el conductor toca repetidamente la bocina, ¿qué debe hacer si se encuentra conduciendo en su proximidad?","Cederle el paso, ya que está indicando que se encuentra en emergencia.","Brindar mi colaboración, ya que está indicando que el vehículo tiene un desperfecto mecánico.","Alertar a otros conductores, tocando repetidamente la bocina, que ese vehículo cruzará un se",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0060.webp"
"Indique cual es la correcta:","Puesto sanitario","Emergencias","Policía",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0061.webp"
"La siguiente señal indica:","Detención transporte público.","Terminal ómnibus","Punto panorámico",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0062.webp"
"La siguiente señal indica:","Hotel","Hospital","Zona de descanso.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0063.webp"
"La siguiente señal indica:","Plaza","Lugar para recreación","Campamento",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0064.webp"
"La siguiente señal indica:","Estación de servicio","Bar","Restaurant",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0065.webp"
"La siguiente señal indica:","Hotel","Bar","Restaurante",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0066.webp"
"La siguiente señal indica:","curva cerrada","camino sinuoso","permitido girar",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0067.webp"
"La siguiente señal indica:","Maquinaria especial","Hombres trabajando","Equipo pesado en la vía",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0068.webp"
"La siguiente señal indica:","Permitido girar derecha","Dirección permitida derecha","Circulación obligatoria",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0069.webp"
"La siguiente señal indica:","No avanzar","Contramano","Prohibido adelantar",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0070.webp"
"La siguiente señal indica:","Puente angosto","Estrechamiento (en sus dos manos)","Estrechamiento (en una sola mano)",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0071.webp"
"La siguiente señal indica:","Incorporación de tránsito lateral","Inicio doble mano","Ascenso y descenso.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0072.webp"
"La siguiente señal indica:","No estacionar","No estacionar ni detenerse","Prohibición de circular autos.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio.","/img/preguntas/pba/0073.webp"
"La siguiente señal indica:","Paneles de prevención","Cruce ferroviario","Curva cerrada",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0074.webp"
"La siguiente señal indica:","camino sinuoso","Camino en ascenso","Curva en “S”",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0075.webp"
"La siguiente señal indica:","Paso obligatorio","Giro obligatorio derecha","Sentido circulación (derecha)",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0076.webp"
"La siguiente señal indica:","Vientos fuertes laterales","Derrumbes","Proyección de piedras",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0077.webp"
"La siguiente señal indica:","Puente móvil","Inicio de calzada dividida","Túnel",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0078.webp"
"La siguiente señal indica:","incorporación de tránsito lateral","encrucijada","Doble camino",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0079.webp"
"La siguiente señal indica:","Puesto sanitario","Bomberos","Policia",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0080.webp"
"La siguiente señal indica:","Detención transporte público.","Terminal ómnibus","Transporte de emergencias",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0081.webp"
"La siguiente señal indica:","curva cerrada","camino sinuoso","permitido girar a la izquierda",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0082.webp"
"La siguiente señal indica:","camino sinuoso","curva común","Curva en “S”",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0083.webp"
"La siguiente señal indica:","No estacionar.","No estacionar ni detenerse.","Prohibición de circular autos.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0084.webp"
"La siguiente señal indica:","Incorporación de tránsito lateral.","Inicio doble mano","encrucijada",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0085.webp"
"La siguiente señal indica:","Estacionamiento de casas rodantes","Campamento","Punto panorámico.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0086.webp"
"La siguiente señal indica:","Límite de velocidad mínima","Límite de velocidad máxima","Limitación largo vehículo",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0087.webp"
"La siguiente señal indica:","Escolares","Niños","Zona de deportes",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0090.webp"
"La siguiente señal indica:","Prohibición de circular camión","Prohibición de circular carro de mano","Prohibición de circular acoplado",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0091.webp"
"La siguiente señal indica:","Escolares","Niños","Hombres trabajando",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio.","/img/preguntas/pba/0094.webp"
"La siguiente señal indica:","Zona de montaña","Niños","Hombres trabajando",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0095.webp"
"La siguiente señal indica:","Vallas tipo dos","Desvío","Delineadores",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0096.webp"
"La siguiente señal indica:","Vallas","Tambores","Delineadores",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0097.webp"
"La siguiente señal indica:","Ruta panamericana","Ruta nacional","Ruta provincial",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0098.webp"
"La siguiente señal indica:","Ruta panamericana","Ruta nacional","Ruta provincial",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires. En el examen es una pregunta de carácter eliminatorio.","/img/preguntas/pba/0099.webp"
"La siguiente señal indica:","Estación de servicio","Gomería","Policía",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0101.webp"
"La siguiente señal indica","Limitación de altura","Limitación de ancho","Limitación de largo de vehículo",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0102.webp"
"La siguiente señal indica","Limitación de altura","Limitación de ancho X","Limitación de largo de vehículo",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0103.webp"
"La siguiente señal indica","Limitación de peso","Limitación de peso por eje","Limitación de altura",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0104.webp"
"En un cruce de dos calles sin semáforo, frente a la siguiente situación, ¿quién tiene prioridad de paso?","El vehículo A, ya que está circulando por la derecha","Los vehículos B, ya que son varios los que circulan por esa calle.","El vehículo A, ya que está saliendo del paso a nivel ferroviario.",,,"3","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0106.webp"
"En un cruce de dos calles sin semáforo, frente a la siguiente situación, ¿quién tiene prioridad de paso?","El vehículo A.","El vehículo B.",,,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0107.webp"
"¿Quién tiene prioridad de paso en el cruce de estas dos calles?","Los vehículos que circulan por la calle A.","Los vehículos que circulan por la calle B.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0108.webp"
"¿Qué vehículo tiene prioridad de paso en esta intersección sin semáforo?","El vehículo A porque circula por una avenida.","El vehículo B porque circula por la derecha.","Es indistinto ya que es una esquina sin semáforo.",,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0109.webp"
"Al conducir un vehículo y llegar a esta intersección, ¿cómo debe proceder frente a esta señal?","Disminuir un poco la velocidad y mirar que no se acerquen vehículos por la vía a la que se va a incorporar.","Reducir la velocidad y detener el vehículo antes de la senda peatonal.","Avanzar.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0110.webp"
"Como conductor de un vehículo, ¿cómo debe proceder frente a esta señal horizontal?","Disminuir un poco la velocidad y mirar que no se acerquen vehículos por la vía a la que se va a incorporar.","Reducir la velocidad y detener el vehículo antes de la senda peatonal.","Avanzar.",,,"2","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0111.webp"
"Estas señales son las únicas que indican que se pierde la prioridad de paso en una bocacalle sin semáforo.","Verdadero.","Falso.",,,,"1","Respuesta según el cuestionario oficial de la Provincia de Buenos Aires.","/img/preguntas/pba/0112.webp"
